slug	file_commons	autore	licenza	url	note
divercity-gundam-base	Diver-City Tokyo.jpg	ITA-ATU	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Diver-City_Tokyo.jpg	facciata di DiverCity Tokyo Plaza (agosto 2017), senza statua del Gundam
odaiba-beach	Odaiba Marine Park (52651882267).jpg	Dick Thomas Johnson from Tokyo, Japan	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Odaiba_Marine_Park_(52651882267).jpg	spiaggia di Odaiba Kaihin Koen con il Rainbow Bridge sullo sfondo (dicembre 2022)
aqua-city	Aqua City Odaiba 2012.JPG	Kakidai	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Aqua_City_Odaiba_2012.JPG	facciata di Aqua City Odaiba con la sfera della Fuji TV dietro (giugno 2012)
uniqlo-ginza	UNIQLO Ginza.jpg	Christophe95	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:UNIQLO_Ginza.jpg	palazzo UNIQLO GINZA di notte (settembre 2018); foto verticale, ritaglio sui piani bassi (CropY 0.95)
shinjuku-gyoen	NTT Docomo Yoyogi Building and Shinjuku Skyscraper (15843794605).jpg	Yoshikazu TAKADA from Tokyo, Japan	CC BY 2.0	https://commons.wikimedia.org/wiki/File:NTT_Docomo_Yoyogi_Building_and_Shinjuku_Skyscraper_(15843794605).jpg	prato di Shinjuku Gyoen al tramonto con la Docomo Tower e i grattacieli (novembre 2014)
hanazono-shrine	Hanazono shrine. Shinjuku. Tokyo. (42654941572).jpg	Bernard Spragg. NZ from Christchurch, New Zealand	Public domain	https://commons.wikimedia.org/wiki/File:Hanazono_shrine._Shinjuku._Tokyo._(42654941572).jpg	komainu in bronzo e torii rossi sul viale del santuario (maggio 2018); la miniatura mostra soprattutto il komainu
yodobashi-shinjuku	Yodobashi Camera Shinjuku-nishiguchi main branch 2021-08-26.jpg	Asanagi	CC0	https://commons.wikimedia.org/wiki/File:Yodobashi_Camera_Shinjuku-nishiguchi_main_branch_2021-08-26.jpg	facciate e insegne di Yodobashi Camera Shinjuku Nishiguchi (agosto 2021)
