slug	file_commons	autore	licenza	url	note
surugaya-akihabara	Akihabara Surugaya IMG 5995.jpg	Bject	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Akihabara_Surugaya_IMG_5995.jpg	facciata di Surugaya Akihabara ekimae; ritaglio orizzontale da foto verticale (CropY 0.6)
mandarake-shibuya	Mandarake	adactio (Jeremy Keith)	CC BY 2.0	https://www.flickr.com/photos/74105777@N00/3027221118	Flickr via Openverse; insegna sopra l'ingresso di Mandarake Shibuya (BEAM)
yamashiroya	Yamashiroya Toy Shop - Ueno	DocChewbacca	CC BY-SA 2.0	https://www.flickr.com/photos/49462908@N00/2871330944	Flickr via Openverse; facciata notturna con insegna; ritaglio orizzontale da foto verticale (CropY 0.02)
shinjuku-station	JRE Shinjuku-STA South.jpg	MaedaAkihiko	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:JRE_Shinjuku-STA_South.jpg	vista dall'alto del lato sud della stazione (New South Exit e Busta Shinjuku), 2022
beep-akihabara					non trovata
aoyama-square					non trovata
apa-higashi-shinjuku					non trovata
