slug	file_commons	autore	licenza	url	note
kiyomizu-yaki	Openwork Hexagonal Ko-Kiyomizu Ware Bowl, c. 1731-1752 - Art Institute of Chicago - DSC00215.JPG	Daderot	CC0	https://commons.wikimedia.org/wiki/File:Openwork_Hexagonal_Ko-Kiyomizu_Ware_Bowl,_c._1731-1752,_Japan,_artist_unknown,_stoneware_with_overglaze_enamels_-_Art_Institute_of_Chicago_-_DSC00215.JPG	merce al posto della facciata: ciotola Kiyomizu-yaki per il Kyoto Ceramic Center (G2)
famicom-cartridges	File:Famicom cartridges (5099356375).jpg	Bryan Ochalla from Seattle, WA, USA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Famicom_cartridges_(5099356375).jpg	merce al posto della facciata: per Beep (G11)
kutani-ware	File:Hanazume Japanese Teacup by MUSUBI KILN - 51501763966.jpg	MUSUBI KILN	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Hanazume_Japanese_Teacup_by_MUSUBI_KILN_-_51501763966.jpg	merce al posto della facciata: per Aoyama Square (G14)
