slug	file_commons	autore	licenza	url	note
shimokitazawa	Dense Street in Shimokitazawa (11919213554).jpg	Stephen Kelly from San Francisco, CA, USA	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Dense_Street_in_Shimokitazawa_(11919213554).jpg	
godzilla-shinjuku	Godzilla in Kabukichō, Shinjuku (53415745587).jpg	Stephen Kelly from San Francisco, CA, USA	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Godzilla_in_Kabukich%C5%8D,_Shinjuku_(53415745587).jpg	
omoide-yokocho	Shinjuku-West Omoide-Yokocho.jpg	MaedaAkihiko	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Shinjuku-West_Omoide-Yokocho.jpg	
golden-gai	2024-10-20 Shinjuku Golden Gai at night.jpg	Alexkom000	CC BY 4.0	https://commons.wikimedia.org/wiki/File:2024-10-20_Shinjuku_Golden_Gai_at_night.jpg	
yanaka-ginza					preesistente (images/yanaka.jpg)
yanaka-cemetery	Yanaka Cemetery (53432526829).jpg	Stephen Kelly from San Francisco, CA, USA	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Yanaka_Cemetery_(53432526829).jpg	
nezu-shrine	Nezu-jinja Romon 4.jpg	Zairon	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Nezu-jinja_Romon_4.jpg	
yamashiroya					non trovata (su Commons nessuna foto del negozio di Ueno con licenza libera)
kappabashi	Kappabashi-dori streetcorner (Kitchen town - southern end) Tokyo Japan.jpg	Basile Morin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Kappabashi-dori_streetcorner_(Kitchen_town_-_southern_end)_Tokyo_Japan.jpg	
mandarake-complex	MANDARAKE COMPLEX AKIHABARA.JPG	正和	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:MANDARAKE_COMPLEX_AKIHABARA.JPG	foto verticale ritagliata (unica disponibile)
mandarake-shibuya					non trovata (su Commons nessuna foto di Mandarake Shibuya)
shibuya-parco	Shibuya Parco 200220a.jpg	江戸村のとくぞう	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Shibuya_Parco_200220a.jpg	
shibuya-sky	Shibuya Scramble Square - SHIBUYA SKY 2.jpg	Kakidai	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Shibuya_Scramble_Square_-_SHIBUYA_SKY_2.jpg	
blue-cave	渋谷の「青の洞窟」 アイアシアタートーキョー脇から撮影 Pcs34560 IMG4803.jpg	pcs34560	Public domain	https://commons.wikimedia.org/wiki/File:%E6%B8%8B%E8%B0%B7%E3%81%AE%E3%80%8C%E9%9D%92%E3%81%AE%E6%B4%9E%E7%AA%9F%E3%80%8D_%E3%82%A2%E3%82%A4%E3%82%A2%E3%82%B7%E3%82%A2%E3%82%BF%E3%83%BC%E3%83%88%E3%83%BC%E3%82%AD%E3%83%A7%E3%83%BC%E8%84%87%E3%81%8B%E3%82%89%E6%92%AE%E5%BD%B1_Pcs34560_IMG4803.jpg	
kanda-myojin	Kanda-Myojin grand hall.jpg	Hyppolyte de Saint-Rambert	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Kanda-Myojin_grand_hall.jpg	
radio-kaikan	Akihabara 20211126 01.jpg	先従隗始	CC0	https://commons.wikimedia.org/wiki/File:Akihabara_20211126_01.jpg	
super-potato	Tienda Super Potato (Akihabara, Tokio).jpg	Jesusbella	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Tienda_Super_Potato_(Akihabara,_Tokio).jpg	interno del negozio
book-off	Bookoff Mofeoff Hachioji-Owada.jpg	運動会プロテインパワー	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Bookoff_Mofeoff_Hachioji-Owada.jpg	Book Off Hachioji-Owada (Tokyo)
hard-off	HARD OFF Yao-Kayafuri shop.jpg	Tokumeigakarinoaoshima	CC0	https://commons.wikimedia.org/wiki/File:HARD_OFF_Yao-Kayafuri_shop.jpg	Hard Off Yao-Kayafuri (Osaka)
